"_id","category","chapters","description","name","owner","price","price_currency","tags"
"672551713f95b3ee45ac70df","Outdoor","[{""name"": ""Basic Skills"", ""contents"": ""Essential survival techniques""}, {""name"": ""Shelter Building"", ""contents"": ""Creating emergency shelters""}, {""name"": ""Finding Water"", ""contents"": ""Water sourcing and purification""}]","Essential outdoor survival skills","Wilderness Survival","Adventure Press",23.99,"USD","[""Survival"", ""Outdoor"", ""Adventure"", ""Nature""]"
"672551713f95b3ee45ac70e0","Art","[{""name"": ""Color Theory"", ""contents"": ""Understanding color relationships""}, {""name"": ""Composition"", ""contents"": ""Principles of abstract composition""}]",Guide to creating abstract art,"Abstract Art Mastery","Creative Arts Publishing","35.5","EUR","[""Art"", ""Abstract"", ""Painting""]"
"672551713f95b3ee45ac70e1",Science,"[{""name"": ""Early Space Race"", ""contents"": ""The beginning of space exploration""}, {""name"": ""Moon Landing"", ""contents"": ""The Apollo missions""}, {""name"": ""Mars Missions"", ""contents"": ""Current and planned Mars exploration""}, {""name"": ""Future of Space Travel"", ""contents"": ""Upcoming space exploration technologies""}]","History and future of space travel","Space Exploration","Cosmos Publications","45.99","USD","[""Space"", ""Science"", ""Astronomy"", ""Technology"", ""History""]"
"672551713f95b3ee45ac70e2",Cooking,"[{""name"": ""Sushi Making"", ""contents"": ""Basic sushi preparation techniques""}]","Traditional Japanese cooking methods","Japanese Cuisine",Global Cuisine Press,"32.99","GBP","[""Cooking"", ""Japanese""]"
"672551713f95b3ee45ac70e3","Business","[{""name"": ""Data Collection"", ""contents"": ""Gathering marketing metrics""}, {""name"": ""Analysis Tools"", ""contents"": ""Using analytics platforms""}, {""name"": ""Reporting"", ""contents"": ""Creating effective marketing reports""}]","Understanding marketing data","Digital Marketing Analytics","Business Insights Publishing","49.99","USD","[""Marketing"", ""Analytics"", ""Digital"", ""Business"", ""Data""]"
"672551713f95b3ee45ac70e4","Music","[{""name"": ""Baroque Period"", ""contents"": ""Understanding baroque music""}, {""name"": ""Classical Period"", ""contents"": ""The classical era explained""}]","Understanding classical music","Classical Music Appreciation","Harmony Press","28.5","EUR","[""Music"", ""Classical""]"
"672551713f95b3ee45ac70e5","Fitness","[{""name"": ""Basic Poses"", ""contents"": ""Introduction to fundamental poses""}, {""name"": ""Breathing Techniques"", ""contents"": ""Understanding pranayama""}, {""name"": ""Creating a Practice"", ""contents"": ""Developing your routine""}]","Starting your yoga journey",Yoga for Beginners,"Wellness Publications","19.99","USD","[""Yoga"", ""Fitness"", ""Health"", ""Wellness""]"
"672551713f95b3ee45ac70e6","Technology","[{""name"": ""HTML Basics"", ""contents"": ""Understanding HTML structure""}, {""name"": ""CSS Styling"", ""contents"": ""Basic styling with CSS""}, {""name"": ""JavaScript Intro"", ""contents"": ""Basic JavaScript programming""}, {""name"": ""Responsive Design"", ""contents"": ""Creating mobile-friendly websites""}, {""name"": ""Web APIs"", ""contents"": ""Working with web APIs""}]","Learn modern web development","Web Development Fundamentals","Tech Education Press","44.99","USD","[""Programming"", ""Web Development"", ""HTML"", ""CSS"", ""JavaScript""]"
"672551713f95b3ee45ac70e7","Art","[{""name"": ""Materials"", ""contents"": ""Choosing your sketching tools""}, {""name"": ""Perspective"", ""contents"": ""Understanding urban perspective""}]",Quick sketching techniques for city scenes,"Urban Sketching","Artist's Publishing House","25.99","GBP","[""Art"", ""Sketching"", ""Urban""]"
"672551713f95b3ee45ac70e8","Psychology","[{""name"": ""Early Development"", ""contents"": ""Understanding infant development""}, {""name"": ""Cognitive Growth"", ""contents"": ""Mental development stages""}, {""name"": ""Social Development"", ""contents"": ""Understanding social skills development""}]","Understanding child development","Child Psychology",Academic Mind Press,"38.99","EUR","[""Psychology"", ""Child Development"", ""Education"", ""Parenting""]"
